Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Minutes_90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,2024-01-03 00:00:00,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Live,Dead,TB,Sw,TI,CK,In,Out,Str,Blocks,SCA,SCA90,PassLive,PassDead,TO,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,GA,PKA,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,0.15,3.79,1.36,36,3.78,1.36,0.04,0.11,16,0.15,0,0,0.39,0.39,0.1,-0.24,-0.24,6.6,15.5,23,67.1,215.2,54.1,8.64,10.5,82.6,5.61,8.18,68.5,0.3,1.06,28.6,0,0.17,0.06,-0.17,0.91,0.91,0.3,0,1.36,0,0,0,1.06,0.76,0.45,1.52,0.45,0.61,0,0,0,3.79,0.45,0.76,37.5,22.3,0.76,0.15,0.15,0.3,0.15,0.15,0,0,1.21,2.73,2.72,1.36,0,0.15,0.15,0.15,0.15,0,0,0,0.15,0,0,0.91,0.3,0.45,0.15,0.15,25,0.61,1.36,0,0,33.8,0.61,4.85,1.21,38.1,1.67,52.4,22.3,3.64,1.67,1.52,1.06,22.3,6.67,,,,,,,,,,,,,,,,,,
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.1,50,70,71.4,730,160,30,40,75,20,30,66.7,0,0,,0,0,0,0,0,0,10,0,10,10,0,0,20,0,0,0,0,0,0,0,0,10,0,20,0,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,70,0,0,0,,0,,30,0,0,0,0,40,20,,,,,,,,,,,,,,,,,,
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.3,33.3,63.3,52.6,510,196.7,16.7,23.3,71.4,16.7,23.3,71.4,0,6.67,0,0,0.67,0.67,-0.67,3.33,0,0,0,6.67,0,0,0,6.67,0,0,20,0,3.33,0,0,0,6.67,0,0,,56.7,6.67,0,0,0,6.67,6.67,0,0,3.33,3.33,3.75,3.33,0,0,0,0,0,0,0,0,0,0,0,6.67,0,3.33,3.33,0,,0,6.67,0,0,86.7,3.33,20,6.67,50,6.67,50,56.7,6.67,6.67,6.67,13.3,56.7,16.7,,,,,,,,,,,,,,,,,,
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,0.41,1.94,1.02,52.6,1.95,1.02,0.21,0.4,14,0,0,0,0.46,0.46,0.24,-0.05,-0.05,9.8,11.9,17.7,67.6,160.6,35,6.84,9.59,71.3,3.67,5,73.5,0.51,0.61,83.3,0.1,0.18,0.03,-0.08,0.82,0.92,0.51,0.1,1.53,0.1,0,0,1.73,1.02,0.92,0.31,0.1,0.51,0,0,0,2.24,1.33,3.37,28.3,17,0.41,0.1,0,0,0,0,0,0,0.82,1.84,1.84,0.82,0,0.41,0.1,0.2,0.2,0,0,0.2,0,0,0,1.02,0.31,0.51,0.2,0.31,50,0.61,1.12,0.2,0,31.3,1.02,4.59,1.53,36.6,2.24,53.7,19.1,2.14,1.12,3.78,2.04,22.7,3.98,,,,,,,,,,,,,,,,,,
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,0.08,0.99,0.17,16.7,0.99,0.17,0.08,0.5,11.8,0,0,0,0.19,0.19,0.19,-0.11,-0.11,12.1,63.3,70.2,90.1,1143.7,434.5,25,26.8,93.5,32.1,34.1,93.9,4.96,6.69,74.1,0,0.03,0.05,-0.03,0.33,6.61,0.33,0,5.87,0.17,0,0,0.66,1.57,0,0.83,0.83,1.4,0.08,0,0,4.38,2.4,1.74,58,65.1,5.04,0.25,0.25,2.23,0,0,0,0,0.83,1.24,1.24,1.16,0,0,0,0.17,0.17,0.08,0,0,0,0.08,0,1.98,1.07,0.66,0.25,1.32,76.2,0.17,2.81,2.89,0,80.3,8.02,1.9,0.33,40,0.5,60,49,1.07,0.08,0.17,0.25,56.6,1.65,,,,,,,,,,,,,,,,,,
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,0,1.6,0.4,25,1.63,0.41,0,0,15.4,0,0,0,0.16,0.16,0.09,-0.16,-0.16,2.5,27.2,39.6,68.7,360.4,124,16.4,20,82,8,10.8,74.1,0.8,2.8,28.6,0,0.04,0.08,-0.04,0.4,2.4,0.4,0,3.2,0.8,0,0,2.8,0.8,0,1.6,1.2,2,0,0.4,0,8.4,1.2,1.2,50,36.8,2,0.4,0,0.4,0,0,0,0,2,2.4,2.44,1.6,0,0,0.4,0.4,0.41,0,0,0,0,0,0.4,4,1.6,1.2,1.2,1.2,33.3,0.4,5.2,2.4,0.4,56.8,3.6,2,0.8,25,2,62.5,26.8,1.2,0.4,1.2,1.6,30.4,1.2,,,,,,,,,,,,,,,,,,
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,0.04,0.65,0.2,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,0.06,0.06,0.09,-0.02,-0.02,24.5,45.1,52.1,86.5,955.8,329.1,12.1,13.6,88.9,26.1,27.7,94.3,6.45,9.67,66.7,0.04,0.06,0.02,-0.02,0.37,2.12,0.08,0,2,0.29,0,0,0.82,0.61,0.16,0.04,0.65,0.82,0,0,0,4.08,2.57,1.31,66.3,50.4,1.55,0.08,0.9,0.04,0,0,0,0,0.37,0.49,0.49,0.33,0,0,0.04,0.04,0.04,0,0,0,0.04,0,0,1.22,0.94,0.24,0.04,0.9,64.7,0.49,1.88,4.9,0.04,62.4,11.9,1.39,0.12,100,0,0,36.6,0.04,0,0.2,0.08,40.7,0.16,,,,,,,,,,,,,,,,,,
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,0.29,3.24,1.25,38.6,3.24,1.25,0.09,0.24,21.4,0.44,0,0,0.18,0.18,0.05,0.12,0.12,13.6,53.8,71.4,75.4,849.6,247.4,31.3,35.4,88.6,16.4,21.5,76.1,4.85,9.85,49.3,0.74,0.85,0.52,-0.11,4.34,4.93,4.12,0.88,8.16,0.15,0,0,0.81,0.96,0.07,10,0.29,0.66,0,0,0,3.97,0.44,0.37,54.5,61.8,9.12,0.81,0.44,1.76,5.07,2.13,1.18,0.37,1.99,7.35,7.36,5.37,1.25,0.15,0,1.18,1.18,0.88,0.22,0,0,0.07,0,1.03,0.07,0.37,0.59,0.51,35,0.37,1.32,0.29,0,81.1,0.15,6.32,0.74,30.3,1.54,63.6,46.5,3.46,0.88,0.96,1.47,61.3,9.78,,,,,,,,,,,,,,,,,,
136,Hannes Delcroix,be BEL,DF,Burnley,24,1999,0,0.62,0.31,50,0.61,0.31,0,0,11.2,0,0,0,0.06,0.06,0.09,-0.06,-0.06,6.5,46.2,53.8,85.7,758.8,256.3,22.3,23.8,93.5,20.8,23.7,87.7,2.46,4.77,51.6,0,0.03,0.02,-0.03,0.62,3.69,0.46,0.31,2.77,0.31,0,0,0.92,0,0,0.77,1.38,0.92,0,0,0,4.46,1.23,1.38,47.1,49.2,4.46,0,0,4,0,0,0,0,0.31,1.08,1.07,1.08,0,0,0,0,0,0,0,0,0,0,0,1.54,0.92,0.62,0,0.46,75,0.92,2.92,4,0,64.5,6.46,0.62,0.46,50,0.31,33.3,37.1,0.31,0,0.77,0.46,41.2,0.92,,,,,,,,,,,,,,,,,,
137,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,0.77,1.54,0.77,50,1.51,0.76,0.5,1,12.5,0,0,0,0.54,0.54,0.37,0.23,0.23,1.3,34.6,43.1,80.4,572.3,106.9,18.5,21.5,85.7,14.6,16.9,86.4,1.54,3.08,50,0,0,0,0,0,0.77,0,0,2.31,0,0,0,0.77,0.77,0,0,1.54,3.08,0,0,0,3.08,3.08,3.85,44.4,43.1,0,0,0.77,0,0,0,0,0,0,1.54,1.51,0.77,0,0,0,0.77,0.76,0,0,0,0,0.77,0,4.62,2.31,1.54,0.77,3.08,80,2.31,6.15,2.31,0.77,61.5,3.08,1.54,0,,0,,27.7,0,0,1.54,0.77,30,1.54,,,,,,,,,,,,,,,,,,
138,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,0.25,2.23,0.91,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,0.29,0.29,0.13,-0.04,-0.04,24.2,20,25.6,78.4,287.6,55.7,11.6,13.6,85.1,7.02,8.88,79.1,0.7,1.32,53.1,0.33,0.27,0.19,0.06,1.94,1.2,1.65,0.37,2.98,0.04,0,0,0.66,0.62,0.25,1.86,0.37,0.21,0,0,0,2.56,0.08,0.62,11.8,23.4,2.11,0.25,0.08,0.17,0.04,0,0,0,0.62,3.31,3.31,2.64,0.04,0.25,0,0.41,0.41,0.37,0,0.04,0,0,0,0.5,0.21,0.17,0.12,0.17,18.2,0.29,0.87,0.25,0,34,0.5,5.62,1.2,41.4,1.53,52.9,23.5,3.88,1.61,1.36,1.24,25.6,7.56,,,,,,,,,,,,,,,,,,
139,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,0.23,2.33,0.93,40,2.31,0.92,0.1,0.25,19.3,0,0,0,0.12,0.12,0.05,0.12,0.12,4.3,34.7,39.5,87.6,449.1,64.9,24.4,26.7,91.3,7.44,8.6,86.5,0.93,1.16,80,0.23,0.26,0.12,-0.02,2.33,1.4,0.7,0,2.33,0.23,0,0,1.16,0.93,0,0.23,0.23,0.7,0,0,0,3.26,0.93,1.4,40,38.6,0.93,0,0.23,0.47,0.23,0.23,0,0,0.7,4.65,4.62,3.72,0,0.7,0,0,0,0,0,0,0,0,0,2.33,0.23,1.4,0.7,0.7,42.9,0.47,2.56,1.4,0,53.7,1.86,5.58,2.56,47.8,2.33,43.5,34,2.56,0.93,1.63,3.26,37.9,7.21,,,,,,,,,,,,,,,,,,
140,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.0,1,1,100,10,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0,,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
141,Rúben Dias,pt POR,DF,Manchester City,26,1997,0,0.7,0.28,40,0.7,0.28,0,0,15.2,0,0,0,0.05,0.05,0.07,-0.05,-0.05,28.4,86.9,92.8,93.7,1505.8,477.7,36.6,37.9,96.6,44.2,46,96.2,5.14,7.18,71.6,0,0.01,0.07,-0.01,0.25,7.75,0.42,0.11,6.09,0,0,0,0.81,0.53,0,0.46,1.06,0.7,0,0.04,0.04,3.8,1.65,1.48,52.8,90.4,2.29,0.07,0.25,0.39,0,0,0,0,0.28,1.23,1.23,0.99,0,0,0.07,0.14,0.14,0.07,0,0,0.04,0,0.04,1.37,0.49,0.74,0.14,0.67,73.1,0.53,2.43,2.71,0,101.3,8.13,1.2,0,0,0.04,100,70.3,1.2,0.04,0.35,0.25,81,0.56,,,,,,,,,,,,,,,,,,
142,Luis Díaz,co COL,FW,Liverpool,26,1997,0.27,3.22,1.1,34,3.22,1.1,0.09,0.25,15,0,0,0,0.41,0.41,0.13,-0.13,-0.13,29.2,30.8,36.8,83.5,471.6,100.4,18,20,90.2,9.38,11,85.6,2.33,3.12,74.7,0.17,0.2,0.16,-0.02,2.19,2.12,1.54,0.1,3.87,0.1,0,0,1.85,1.44,0.68,0.89,0.1,0.86,0.03,0,0,4.35,0.89,1.64,35.1,35.6,0.99,0.14,0.38,0.82,0,0,0,0,0.99,5.58,5.58,4.14,0.03,0.58,0.03,0.31,0.31,0.31,0,0,0,0,0,1.2,0.17,0.58,0.45,0.24,23.3,0.51,1.3,0.27,0,49.8,0.34,7.5,2.29,47.9,1.95,40.7,34.8,4.69,2.4,2.36,2.47,38.6,10.3,,,,,,,,,,,,,,,,,,
143,Eric Dier,eng ENG,DF,Tottenham,29,1994,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2.2,56.8,64.1,88.7,940.9,471.4,23.6,25.9,91.2,31.4,32.7,95.8,1.36,4.55,30,0,0,0,0,0,1.36,0,0,1.36,0,0,0,0,0.45,0.91,0,0.91,0.45,0,0,0,3.18,1.36,2.27,37.5,60,4.09,0,0,0,0,0,0,0,0,0.91,0.9,0.91,0,0,0,0,0,0,0,0,0,0,0,0.91,0.91,0,0,0.91,100,0,1.82,5.45,0,74.5,17.3,0.91,0,,0,,44.1,0,0,0.45,0,50.9,0,,,,,,,,,,,,,,,,,,
144,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,0.04,0.75,0.15,20,0.75,0.15,0.05,0.25,20,0.22,0,0,0.04,0.04,0.05,0,0,26.8,37.9,50.4,75.1,606.1,208.8,19.6,22.2,88.2,15.1,19.7,76.7,2.46,5.52,44.6,0.11,0.15,0.13,-0.04,1.38,1.83,1.27,0.56,2.87,0.26,0,0,1.08,1.12,0.11,5.75,0.97,0.71,0,0,0,3.77,1.57,0.9,63.6,40.9,9.44,0,0.15,6.75,1.34,0.93,0.19,0,1.57,2.76,2.76,1.79,0.71,0,0.04,0.15,0.15,0.15,0,0,0,0,0,1.75,1.31,0.34,0.11,0.93,56.8,0.67,2.72,2.5,0,59.3,2.65,2.09,0.37,30.3,0.6,48.5,31.3,1.57,0.15,0.6,0.56,34.5,7.46,,,,,,,,,,,,,,,,,,
145,Issa Diop,fr FRA,DF,Fulham,26,1997,0,0.32,0.06,20,0.32,0.06,0,0,14.6,0,0,0,0.02,0.02,0.05,-0.02,-0.02,15.8,60.1,68.4,88,1116.8,403.2,21.1,22.7,93,35.1,37.6,93.4,3.35,6.2,54.1,0,0,0.03,0,0,3.8,0.19,0,4.18,0.25,0.06,0.06,1.08,0.25,0,0,1.08,1.01,0,0.19,0,4.11,1.58,1.08,59.5,65.9,2.34,0.06,0.32,0.13,0,0,0,0,0.82,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,1.9,1.46,0.32,0.13,0.95,75,0.57,2.97,5.06,0.06,79.6,10.6,0.44,0.06,100,0,0,50.3,0.7,0,0.19,0.32,55.9,0.06,,,,,,,,,,,,,,,,,,
146,Axel Disasi,fr FRA,DF,Chelsea,25,1998,0.07,0.56,0.14,25,0.56,0.14,0.13,0.5,10.3,0,0,0,0.08,0.08,0.15,-0.01,-0.01,28.7,70.8,78.6,90,1187.5,399.4,30.6,31.8,96.1,36.6,39.2,93.4,3,5.85,51.2,0,0.01,0.03,-0.01,0.1,4.01,0.28,0.03,3.9,0.21,0,0,0.59,0.59,0.14,0.35,0.63,0.66,0,0,0.03,5.23,2.51,1.08,69.9,75,3.41,0.1,0.38,1.5,0,0,0,0,0.66,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,1.15,0.7,0.35,0.1,0.8,76.7,0.24,1.78,3.55,0.07,87,10.1,0.84,0.42,54.5,0.17,22.7,56.2,1.05,0.1,0.56,0.42,65.9,0.73,,,,,,,,,,,,,,,,,,
147,Ben Doak,sct SCO,FW,Liverpool,17,2005,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.2,20,20,100,225,40,20,20,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,30,0,0,0,,0,,20,0,0,10,0,20,0,,,,,,,,,,,,,,,,,,
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,0.38,1.92,0.77,40,1.94,0.78,0.2,0.5,15.6,0,0,0,0.12,0.12,0.06,0.27,0.27,2.6,16.9,25,67.7,206.5,36.5,12.3,13.8,88.9,3.46,6.54,52.9,0.77,1.92,40,0,0.19,0.04,-0.19,1.54,0,1.15,0.38,1.15,0.38,0,0,1.15,2.31,0,2.69,0.38,2.69,0,0,0,7.69,0.77,0.38,66.7,23.1,1.15,0,0,0.77,0,0,0,0,1.15,2.31,2.33,1.15,0,0,0,0,0,0,0,0,0,0,0,3.46,1.15,1.92,0.38,1.92,55.6,1.54,3.85,0,0,48.8,0,4.23,2.31,28.6,5.77,71.4,34.2,2.31,1.54,4.62,2.31,30.8,7.69,,,,,,,,,,,,,,,,,,
149,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,0.08,0.7,0.23,33.3,0.7,0.23,0.11,0.33,10.8,0,0,0,0.06,0.06,0.09,0.02,0.02,12.8,40.2,51,78.9,609.2,164.5,23.1,27.2,85.1,13.6,16.6,82.1,2.42,4.3,56.4,0,0.1,0.07,-0.1,0.94,1.72,0.55,0.08,2.42,0.16,0,0,1.02,0.86,0.39,1.02,0.55,1.41,0,0,0,5.08,2.97,2.58,53.5,44.2,6.8,0,0.39,5.94,0,0,0,0,1.41,1.48,1.48,1.41,0.08,0,0,0,0,0,0,0,0,0,0,2.42,1.33,0.78,0.31,0.94,52.2,0.78,2.97,3.67,0,63.4,4.69,2.42,0.47,42.9,0.55,50,25.4,0.94,0.23,1.33,0.47,37.6,5,,,,,,,,,,,,,,,,,,
150,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,0.17,3.11,1.07,34.5,3.1,1.07,0.05,0.16,16.4,0,0,0,0.14,0.14,0.05,0.03,0.03,17.7,39.2,48.1,81.3,548,86.9,25.5,28.6,89.2,11.2,14.4,78,1.47,1.86,78.8,0.45,0.26,0.33,0.19,2.54,18:57:36,2.26,0.4,3.22,0.17,0,0,0.85,1.86,0.28,3.45,0.51,1.24,0.11,0,0,4.24,0.11,0.17,40,47.7,0.45,0.11,0.11,0.28,0.17,0,0,0,1.92,6.27,6.26,4.63,0.06,0.96,0,0.85,0.85,0.56,0,0.11,0.06,0.11,0,2.2,0.73,0.68,0.79,0.51,45,0.79,2.71,0.28,0,65.6,0.28,12.8,4.92,51.5,3.62,37.9,49.7,12.3,8.31,2.94,2.09,52.9,16.7,,,,,,,,,,,,,,,,,,
151,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,0.12,1.33,0.36,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,0.08,0.08,0.06,0.04,0.04,16.6,43,50.8,84.7,656.3,194.2,22.9,25.5,89.6,15.3,18,85.2,2.71,3.67,73.8,0.12,0.06,0.08,0.06,0.6,3.67,0.96,0.06,5.48,0.24,0,0,1.57,0.96,0.12,0.36,1.08,2.05,0,0,0,6.51,1.27,1.14,52.5,49.2,1.33,0.12,0.3,0.24,0.06,0,0.06,0,0.78,2.11,2.11,1.99,0,0,0,0.12,0.12,0.12,0,0,0,0,0,3.8,2.11,1.63,0.06,1.39,47.9,1.57,4.88,1.45,0,63.2,2.35,1.99,0.42,41.2,0.48,47.1,29.6,0.84,0.12,1.27,0.42,37.8,2.59,,,,,,,,,,,,,,,,,,
152,Jamie Donley,eng ENG,FW,Tottenham,18,2005,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0.0,1,1,100,14,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,7,2,0,0,0,1,100,2,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,0.24,1.61,0.72,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,0.3,0.3,0.2,-0.06,-0.06,29.2,23.4,30.6,76.5,335.9,79.8,13,15.5,84.1,8.18,9.86,83,0.96,2.02,47.5,0.03,0.1,0.05,-0.07,1.16,1.47,0.62,0.03,3.32,0.24,0,0,1.82,0.27,0.72,0.89,0.51,0.92,0,0.03,0,4.93,0.82,1.37,37.5,30,0.55,0.03,0.03,0,0,0,0,0,0.99,2.29,2.29,2.02,0,0,0.03,0.17,0.17,0.1,0,0,0.07,0,0,1.47,0.68,0.48,0.31,0.62,39.1,0.68,1.99,0.65,0,40.8,1.23,3.42,0.86,52.1,0.72,43.8,21.7,1.88,0.58,2.09,1.44,27.4,4.79,,,,,,,,,,,,,,,,,,
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,0,0.59,0.2,33.3,0.59,0.2,0,0,21.6,0,0,0,0.03,0.03,0.05,-0.03,-0.03,10.2,36,41.4,87,561.3,181.3,19.6,21.8,90.1,14.3,16.2,88.5,1.76,2.35,75,0,0.07,0.08,-0.07,0.98,3.82,0.49,0,4.8,0.2,0,0,0.98,0.1,0,0.1,1.96,1.67,0,0,0,7.25,0.49,0.88,35.7,41,0.39,0.49,0,0,0,0,0,0,0.69,2.25,2.25,1.86,0,0.1,0.1,0.29,0.29,0.29,0,0,0,0,0,3.33,1.47,1.27,0.59,1.76,60,1.08,5.29,1.18,0,53.4,2.45,0.69,0.98,76.9,0.29,23.1,27.1,0.88,0.1,1.57,0.78,31.2,0.49,,,,,,,,,,,,,,,,,,
155,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,0.06,0.8,0.25,30.8,0.8,0.25,0.08,0.25,16.3,0.06,0,0,0.04,0.04,0.05,0.02,0.02,32.5,34.5,51.9,66.5,644.8,256.2,15.3,17.6,86.9,13.3,17.6,75.5,5.11,13.1,39,0.25,0.19,0.17,0.05,2.15,2.18,1.32,0.74,3.26,0.15,0,0,0.95,0.28,0.4,10.5,0.95,1.23,0,0,0,5.69,0.71,0.37,65.7,36.6,15,0,0.28,7.66,4.65,2.03,2.46,0.15,1.85,3.54,3.54,1.75,1.45,0.12,0,0.49,0.49,0.25,0.15,0.03,0.06,0,0,1.94,0.89,0.55,0.49,1.14,45.1,1.29,2.89,1.32,0.12,61.5,3.14,2.34,1.02,49.3,0.74,35.8,27.6,2.89,0.86,1.57,0.4,29.8,5.05,,,,,,,,,,,,,,,,,,
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,0,1.03,0.22,21.4,1.03,0.22,0,0,26.2,0.15,0,0,0.03,0.03,0.03,-0.03,-0.03,13.6,58.9,70.2,83.9,1115,309.4,22.7,24.3,93.4,26.5,29.3,90.5,7.79,13.1,59.6,0,0.03,0.07,-0.03,0.59,6.32,0.51,0.15,5.96,0.15,0,0,0.81,0.29,0,2.06,0.88,0.96,0,0,0,6.84,0,0.29,0,64.6,5.07,0.15,1.1,0.59,1.1,0.59,0.22,0,0.81,1.91,1.91,1.47,0.44,0,0,0.37,0.37,0.29,0.07,0,0,0,0,1.91,0.81,0.74,0.37,1.03,60.9,0.96,2.79,1.32,0,78,2.94,0.44,0.07,33.3,0.07,33.3,46.8,1.54,0.15,0.51,0.51,56.3,1.25,,,,,,,,,,,,,,,,,,
157,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,0,0.21,0,0,0.21,0,0,,10.4,0,0,0,0.02,0.02,0.14,-0.02,-0.02,4.8,67.9,77.1,88.1,1173.5,371.3,27.1,30.8,87.8,38.5,41.3,93.4,1.67,3.33,50,0,0,0,0,0,2.08,0,0,1.67,0.21,0,0,1.25,0.83,0.21,0,1.67,0.63,0,0,0,4.38,1.88,1.25,60,73.3,3.75,0.21,0,0.21,0,0,0,0,0.63,0.21,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,1.04,1.04,0,0,0.63,100,0.21,2.71,3.96,0,85.6,9.17,0.42,0.21,33.3,0.21,33.3,59.2,1.04,0.21,0.21,0.21,65,0.21,,,,,,,,,,,,,,,,,,
158,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,22.1,23.5,29.5,79.7,537.1,314.1,6.02,6.11,98.5,12.4,12.6,98.2,4.93,10.5,47,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0.09,0.23,0,0,0,0,0,0.09,0,1.31,0.18,0,100,20,9.32,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.05,32.1,27.3,0,0,,0,,17.1,0,0,0.14,0,11.8,0,,,,,,,,,,,,,,,,,,
159,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0,5,0,0,4.5,0,0,,16.1,0,0,0,0,0,0.02,0,0,0.2,105,115,91.3,1600,380,50,50,100,55,60,91.7,0,5,0,0,0,0,0,0,10,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,100,110,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,100,0,5,5,0,130,15,5,0,,0,,60,5,0,0,0,100,0,,,,,,,,,,,,,,,,,,
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,0.09,1.03,0.38,36.4,1.04,0.38,0.09,0.25,13.4,0.13,0,0,0.1,0.1,0.09,0,0,31.9,93.3,101.3,92.1,1592.2,610.6,42.1,43.3,97.2,42,44.4,94.6,6.77,10.7,63.5,0.03,0.03,0.07,0,0.41,6.39,0.25,0.03,4.76,0.22,0.03,0,0.72,0.38,0.03,0.22,0.97,0.44,0,0.03,0,5.64,1.79,1,64,94.2,6.87,0.06,0.5,0.16,0,0,0,0,0.16,1.5,1.51,1.22,0.09,0,0,0.22,0.22,0.19,0,0,0.03,0,0,0.85,0.53,0.28,0.03,0.41,36.1,0.38,1.82,2.82,0.03,109.1,17.4,1.6,0.16,62.5,0.06,25,75.8,1.03,0.06,0.28,0.06,84,0.41,,,,,,,,,,,,,,,,,,
161,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,0.94,3.77,1.32,35,3.79,1.33,0.25,0.71,16.8,0,0,0,0.38,0.38,0.1,0.57,0.57,5.3,15.7,22.8,68.6,206.6,41.5,9.62,13,73.9,4.53,5.47,82.8,0.57,0.94,60,0,0.06,0.04,-0.06,0.75,1.13,0.19,0,1.7,0.94,0,0,2.26,1.51,0.75,1.13,0.19,0.94,0.19,0,0,2.83,3.77,2.26,62.5,22.1,0.75,0,0,0.19,0,0,0,0,1.89,2.26,2.27,1.51,0,0.19,0.19,0.75,0.76,0.19,0,0.19,0,0.19,0.19,1.13,0.57,0.19,0.38,0.19,16.7,1.13,1.32,1.89,0,35.7,1.51,5.09,0.38,40,0.57,60,19.2,1.7,0.94,3.02,2.64,26,4.72,,,,,,,,,,,,,,,,,,
